satellite,time,x_km,y_km,z_km
CALSPHERE 2,2025-06-29 18:35:33,-2226.499346496262,-5374.381554341074,4612.705978047524
CALSPHERE 2,2025-06-29 18:45:33,-2865.377530626418,-6829.302733075519,577.2913193684636
CALSPHERE 2,2025-06-29 18:55:33,-2529.457459515232,-5960.892093361039,-3655.4593297463975
CALSPHERE 2,2025-06-29 19:05:33,-1336.2044374483285,-3072.0893894190167,-6648.050650640593
CALSPHERE 2,2025-06-29 19:15:33,307.52381071722147,852.4302668817215,-7397.4199314145435
CALSPHERE 2,2025-06-29 19:25:33,1848.3371763452428,4491.5594394168975,-5660.202585639641
CALSPHERE 2,2025-06-29 19:35:33,2769.18471585981,6624.123460570803,-2020.7401793521415
CALSPHERE 2,2025-06-29 19:45:33,2758.9137518581806,6529.376651394376,2298.983321812003
CALSPHERE 2,2025-06-29 19:55:33,1818.822766556266,4234.091964924877,5841.602060986012
CALSPHERE 2,2025-06-29 20:05:33,264.840842561841,509.7484786232948,7407.40182092087
CALSPHERE 2,2025-06-29 20:15:33,-1378.4729950998433,-3386.3803983400053,6461.43624070306
CALSPHERE 2,2025-06-29 20:25:33,-2553.603019695169,-6132.359937951234,3317.6181087836044
CALSPHERE 2,2025-06-29 20:35:33,-2859.7169307578065,-6791.426610759962,-957.5391617139443
CALSPHERE 2,2025-06-29 20:45:33,-2193.8339531677057,-5142.126710225155,-4907.390768910636
CALSPHERE 2,2025-06-29 20:55:33,-785.7976868012538,-1753.2819227650225,-7195.408164311433
CALSPHERE 2,2025-06-29 21:05:33,886.8178289766854,2225.936701628157,-7059.66655830985
CALSPHERE 2,2025-06-29 21:15:33,2262.2368277109263,5459.143299133429,-4552.027528198625
CALSPHERE 2,2025-06-29 21:25:33,2878.2976448934146,6859.888321306276,-513.7036806946095
CALSPHERE 2,2025-06-29 21:35:33,2525.6663766201686,5951.944096604869,3697.2254636588254
CALSPHERE 2,2025-06-29 21:45:33,1321.3164274017395,3036.877616443862,6658.022150910018
CALSPHERE 2,2025-06-29 21:55:33,-329.2075323402525,-903.6165797073487,7364.39249789395
CALSPHERE 2,2025-06-29 22:05:33,-1867.93229582956,-4537.321337599924,5571.010137736354
CALSPHERE 2,2025-06-29 22:15:33,-2771.6733446308203,-6628.604707300742,1880.5860960188975
CALSPHERE 2,2025-06-29 22:25:33,-2732.1544799844073,-6464.020717100704,-2451.456641657527
CALSPHERE 2,2025-06-29 22:35:33,-1765.2685216521602,-4105.363134511781,-5950.811685487754
CALSPHERE 2,2025-06-29 22:45:33,-202.3755227984282,-360.59752123814195,-7438.986291031393
CALSPHERE 2,2025-06-29 22:55:33,1428.7843688333135,3505.9811520404114,-6424.7311997427905
CALSPHERE 2,2025-06-29 23:05:33,2580.9399278807464,6197.146113303347,-3251.9712323568324
CALSPHERE 2,2025-06-29 23:15:33,2865.9822754274037,6806.266852801224,1015.0487006505406
CALSPHERE 2,2025-06-29 23:25:33,2185.6821842106874,5122.861789669393,4938.798768189332
CALSPHERE 2,2025-06-29 23:35:33,767.9343772129237,1711.0367412292958,7191.87232757443
CALSPHERE 2,2025-06-29 23:45:33,-909.1999200617948,-2278.6603838100564,7007.978824338539
CALSPHERE 2,2025-06-29 23:55:33,-2277.7266460798924,-5494.929133698421,4442.606407126717
CALSPHERE 2,2025-06-30 00:05:33,-2871.40043338511,-6841.884598148787,363.07993020137417
CALSPHERE 2,2025-06-30 00:15:33,-2488.332575024818,-5861.47942327821,-3840.793141666105
CALSPHERE 2,2025-06-30 00:25:33,-1262.1215861282592,-2894.9680110254644,-6741.999752749479
CALSPHERE 2,2025-06-30 00:35:33,389.471483963081,1047.279341047668,-7368.993762112857
CALSPHERE 2,2025-06-30 00:45:33,1910.664255059041,4638.789667024629,-5519.324527589904
CALSPHERE 2,2025-06-30 00:55:33,2790.9445361550033,6674.252815513911,-1814.6939327520572
CALSPHERE 2,2025-06-30 01:05:33,2732.6643530083015,6465.250573146695,2500.839532170131
CALSPHERE 2,2025-06-30 01:15:33,1753.2984067156315,4077.0573947420644,5970.979950323692
CALSPHERE 2,2025-06-30 01:25:33,182.08831036081742,312.6485470362652,7420.257517610013
CALSPHERE 2,2025-06-30 01:35:33,-1450.4640843923862,-3556.872015895349,6352.932063626273
CALSPHERE 2,2025-06-30 01:45:33,-2590.303691301698,-6218.144938496807,3124.2302890586675
CALSPHERE 2,2025-06-30 01:55:33,-2848.602324940539,-6763.22664250373,-1169.9585833761198
CALSPHERE 2,2025-06-30 02:05:33,-2138.8644013511685,-5009.9600773412785,-5066.6165001128165
CALSPHERE 2,2025-06-30 02:15:33,-705.8021434718229,-1562.4053177604744,-7248.076028840088
CALSPHERE 2,2025-06-30 02:25:33,964.8701943041223,2411.1835879842793,-6988.692767793169
CALSPHERE 2,2025-06-30 02:35:33,2312.1842251455882,5576.672248183444,-4381.438348598374
CALSPHERE 2,2025-06-30 02:45:33,2883.2960049405247,6870.060752099614,-300.7609897702985
CALSPHERE 2,2025-06-30 02:55:33,2483.902168410136,5851.024430799724,3880.709192191057
CALSPHERE 2,2025-06-30 03:05:33,1246.7757995221607,2858.669072172788,6749.870627110062
CALSPHERE 2,2025-06-30 03:15:33,-411.40192838964083,-1099.0451716581883,7333.1647244006
CALSPHERE 2,2025-06-30 03:25:33,-1929.9115931957074,-4683.69937926225,5426.7945925245795
CALSPHERE 2,2025-06-30 03:35:33,-2792.275646016687,-6675.94687003995,1672.1751949979298
CALSPHERE 2,2025-06-30 03:45:33,-2704.4048282483122,-6396.302460969029,-2653.0179157565235
CALSPHERE 2,2025-06-30 03:55:33,-1698.8215374262074,-3946.127040255396,-6077.247423044768
CALSPHERE 2,2025-06-30 04:05:33,-119.84656656483095,-164.0257548753678,-7448.2438654869375
CALSPHERE 2,2025-06-30 04:15:33,1499.6669568146538,3673.852460741266,-6314.218324643733
CALSPHERE 2,2025-06-30 04:25:33,2616.397641583293,6280.002879126886,-3058.8404572303
CALSPHERE 2,2025-06-30 04:35:33,2853.9921823081454,6776.008107079935,1225.8863253336563
CALSPHERE 2,2025-06-30 04:45:33,2130.157761646885,4989.3833346302345,5096.114680155719
CALSPHERE 2,2025-06-30 04:55:33,687.5263346149814,1519.1802862933012,7242.247954792153
CALSPHERE 2,2025-06-30 05:05:33,-987.3426727444156,-2464.109174605394,6933.923580180096
CALSPHERE 2,2025-06-30 05:15:33,-2327.0382227481527,-5610.915492762034,4268.794582457518
CALSPHERE 2,2025-06-30 05:25:33,-2875.03077056612,-6848.770479199918,148.5661851664549
CALSPHERE 2,2025-06-30 05:35:33,-2445.165920447613,-5757.206258921054,-4022.931231099241
CALSPHERE 2,2025-06-30 05:45:33,-1187.0365365254615,-2715.4608153877653,-6830.386624264699
CALSPHERE 2,2025-06-30 05:55:33,471.06180519848823,1241.277812510185,-7334.523910424697
CALSPHERE 2,2025-06-30 06:05:33,1971.4004401266288,4782.2323453843865,-5373.9223211666085
CALSPHERE 2,2025-06-30 06:15:33,2810.4059216681203,6718.9097352110175,-1607.1523648821471
CALSPHERE 2,2025-06-30 06:25:33,2704.177210922234,6395.796406939446,2700.6420350828243
CALSPHERE 2,2025-06-30 06:35:33,1686.3527364551044,3916.638658203874,6095.431003614199
